,n,method,weight,value,time
,200,or ,41116,40575,15.29231739
,,deap,23703,59094,2.393257618
,,,,,
,500,or ,#N/A,#N/A,#N/A
,,deap,64475,142890,13.36739898
,,,,,
,1000,or ,#N/A,#N/A,#N/A
,,deap,125399,257802,40.96114373
,,,,,
09 - SpannerStronglyCorrelated,50,or ,11540,28440,300.0217519
,,deap,6461,27261,0.263941765
,,,,,
,100,or ,20956,51656,11.11649275
,,deap,12004,49204,0.811476946
,,,,,
,200,or ,41288,101888,300.0227916
,,deap,23674,102874,2.515035629
,,,,,
,500,or ,99944,245144,302.3108802
,,deap,64580,256080,11.43614721
,,,,,
,1000,or ,198780,488680,300.0667527
,,deap,125424,481624,43.22834778
,,,,,
10 - MultipleStronglyCorrelated,50,or ,14238,21338,0
,,deap,11764,19164,0.352093697
,,,,,
,100,or ,29016,43316,1.799211264
,,deap,25379,39879,0.783131838
,,,,,
,200,or ,51558,81658,24.95177031
,,deap,48098,77598,2.556943417
,,,,,
,500,or ,127278,203778,300.1431954
,,deap,123715,195915,11.4496882
,,,,,
,1000,or ,245970,399170,300.0358379
,,deap,254745,392945,41.33583736
,,,,,
11 - ProfitCeiling ,50,or ,14238,14229,1.476347208
,,deap,11793,11769,0.459925652
,,,,,
,100,or ,29015,29001,153.8344586
,,deap,25389,25356,0.718583345
,,,,,
,200,or ,#N/A,#N/A,#N/A
,,deap,48106,48048,2.23585701
,,,,,
,500,or ,#N/A,#N/A,#N/A
,,deap,123764,123615,10.93139982
,,,,,
,1000,or ,#N/A,#N/A,#N/A
,,deap,254776,254490,39.52536559
,,,,,
12 - Circle,50,or ,14239,300031,0.651958704
,,deap,11793,248484,0.280065298
,,,,,
,100,or ,29017,611418,0.183720112
,,deap,25391,535000,0.773991346
,,,,,
,200,or ,#N/A,#N/A,#N/A
,,deap,48106,1013616,2.324188232
,,,,,
,500,or ,#N/A,#N/A,#N/A
,,deap,123764,2607767,11.04529357
,,,,,
,1000,or ,#N/A,#N/A,#N/A
,,deap,254777,254777,40.01817894
